               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095172,            0.071525,             0.10689,           0.0045685,             0.22158,            0.023635,           0.0047507,             0.07425,            0.045994,             0.10571,            0.070492,           0.0032787,           0.0032787
                   1,            0.067458,            0.063973,             0.10413,           0.0072932,             0.38336,            0.019607,           0.0098704,            0.062166,            0.037005,             0.10211,            0.040426,           0.0065466,           0.0065466
                   2,            0.060252,            0.057112,             0.10143,             0.00793,             0.40174,            0.020901,            0.010446,             0.05821,            0.031819,            0.099666,            0.010295,           0.0097484,           0.0097484
                   3,            0.055724,            0.050512,            0.099999,           0.0095328,             0.42703,            0.022507,            0.012962,            0.048408,            0.032498,            0.098116,            0.009703,            0.009703,            0.009703
                   4,            0.049493,            0.052179,            0.099029,            0.011041,             0.43418,            0.024711,            0.012386,            0.053339,            0.030281,            0.097678,            0.009703,            0.009703,            0.009703
                   5,            0.045408,            0.050873,            0.098445,            0.010077,              0.3892,            0.024596,             0.01271,            0.046943,            0.037789,            0.096737,            0.009604,            0.009604,            0.009604
                   6,            0.044227,            0.050777,            0.097118,            0.011588,             0.43662,            0.030041,            0.019733,            0.039649,            0.032615,            0.095634,            0.009505,            0.009505,            0.009505
                   7,            0.043646,            0.051788,            0.097088,            0.012831,             0.45316,            0.028312,             0.01681,            0.043444,             0.02893,             0.09566,            0.009406,            0.009406,            0.009406
                   8,            0.041639,            0.049897,            0.096921,              0.0132,             0.46291,            0.042027,            0.026116,            0.039123,            0.029256,            0.095069,            0.009307,            0.009307,            0.009307
                   9,            0.041726,            0.048889,            0.096272,            0.013913,              0.4714,             0.03962,            0.025374,            0.040372,            0.028663,            0.094327,            0.009208,            0.009208,            0.009208
                  10,            0.040592,            0.046766,            0.096403,            0.013745,             0.47709,            0.045391,            0.024948,            0.042293,            0.029057,            0.094701,            0.009109,            0.009109,            0.009109
                  11,            0.039709,            0.046242,            0.095784,            0.014331,             0.48746,             0.05143,             0.02898,            0.036242,            0.028775,            0.093847,             0.00901,             0.00901,             0.00901
                  12,            0.038675,            0.045826,            0.095479,            0.012863,             0.48433,            0.046385,            0.027318,            0.040402,            0.028565,            0.093449,            0.008911,            0.008911,            0.008911
                  13,            0.038659,             0.04705,            0.094461,            0.013795,             0.48254,            0.050337,            0.025333,            0.039501,            0.029311,            0.092733,            0.008812,            0.008812,            0.008812
                  14,            0.038045,            0.049065,             0.09411,             0.01469,             0.47861,            0.053504,            0.030082,            0.037279,            0.029077,             0.09176,            0.008713,            0.008713,            0.008713
                  15,            0.036656,            0.044928,            0.093638,            0.015278,             0.51546,            0.068256,             0.03245,            0.039831,            0.027322,            0.091628,            0.008614,            0.008614,            0.008614
                  16,              0.0363,            0.043795,             0.09316,             0.83712,            0.061773,            0.078959,            0.041426,            0.039494,            0.028426,            0.090054,            0.008515,            0.008515,            0.008515
                  17,            0.037101,             0.04684,             0.09185,             0.66604,            0.094486,            0.084893,              0.0485,            0.040326,            0.027119,             0.08962,            0.008416,            0.008416,            0.008416
                  18,            0.036487,            0.046096,             0.09121,             0.74852,            0.080414,            0.095529,            0.055886,            0.035734,            0.028018,            0.088414,            0.008317,            0.008317,            0.008317
                  19,            0.035843,            0.042842,            0.090476,             0.77096,            0.092102,            0.098012,            0.056493,             0.03662,            0.029075,            0.087171,            0.008218,            0.008218,            0.008218
                  20,            0.035934,            0.044324,              0.0894,             0.74961,             0.10475,             0.10977,            0.061504,            0.037403,            0.027615,            0.085991,            0.008119,            0.008119,            0.008119
                  21,            0.035886,            0.046238,            0.088733,             0.72986,             0.14155,             0.13006,            0.074966,            0.036659,            0.027455,            0.084822,             0.00802,             0.00802,             0.00802
                  22,            0.035127,             0.04567,            0.086298,             0.81783,             0.12513,             0.13679,            0.079344,            0.035321,            0.027252,             0.08315,            0.007921,            0.007921,            0.007921
                  23,            0.035381,            0.043713,            0.085563,             0.89415,             0.10361,             0.14807,            0.092248,            0.034266,            0.027653,            0.082281,            0.007822,            0.007822,            0.007822
                  24,            0.035558,            0.044185,            0.084837,             0.75585,             0.15181,             0.15911,            0.090495,              0.0362,            0.027792,            0.080423,            0.007723,            0.007723,            0.007723
                  25,            0.034296,            0.044433,             0.08382,             0.70775,             0.16268,             0.18215,             0.11514,            0.034528,            0.027229,            0.079494,            0.007624,            0.007624,            0.007624
                  26,            0.035726,            0.044311,            0.081793,              0.9272,             0.11391,             0.17196,             0.10286,             0.03739,            0.028708,            0.079365,            0.007525,            0.007525,            0.007525
                  27,            0.035146,            0.042956,            0.080467,             0.73606,             0.16918,             0.18163,             0.10914,            0.036522,            0.027157,            0.077652,            0.007426,            0.007426,            0.007426
                  28,            0.034754,            0.042035,            0.079875,             0.78914,             0.16591,             0.20718,             0.11331,             0.03876,             0.02914,            0.075556,            0.007327,            0.007327,            0.007327
                  29,            0.034601,            0.041181,            0.079114,             0.81638,             0.17309,             0.22676,             0.13507,            0.035614,             0.02826,            0.074866,            0.007228,            0.007228,            0.007228
                  30,            0.035196,            0.042445,            0.077211,             0.93029,             0.14738,             0.23755,             0.14384,            0.035134,            0.027333,            0.072517,            0.007129,            0.007129,            0.007129
                  31,            0.035312,            0.043229,            0.075701,             0.82266,             0.18876,              0.2394,             0.12873,            0.037645,            0.029155,            0.073134,             0.00703,             0.00703,             0.00703
                  32,            0.035458,            0.043678,            0.073523,             0.79522,             0.20603,             0.26074,             0.16047,            0.034198,            0.027506,            0.071705,            0.006931,            0.006931,            0.006931
                  33,            0.034554,            0.043335,            0.073079,             0.83491,             0.20376,             0.26986,             0.15903,            0.035595,             0.02753,            0.069654,            0.006832,            0.006832,            0.006832
                  34,            0.035482,            0.042692,              0.0714,             0.87297,             0.21825,             0.28259,             0.16802,            0.036817,            0.028542,            0.068057,            0.006733,            0.006733,            0.006733
                  35,            0.035311,            0.040656,            0.070155,             0.76179,               0.221,             0.28886,              0.1693,            0.038123,            0.028218,            0.067222,            0.006634,            0.006634,            0.006634
                  36,            0.035123,            0.042224,            0.068918,             0.80694,              0.2464,             0.31736,             0.18545,            0.036124,            0.028574,            0.065794,            0.006535,            0.006535,            0.006535
                  37,            0.034064,            0.040811,             0.06738,             0.81301,              0.2629,             0.31649,             0.17998,            0.036832,            0.028456,             0.06337,            0.006436,            0.006436,            0.006436
                  38,            0.034776,            0.041646,            0.064909,             0.69145,             0.29998,             0.36742,             0.22704,            0.035699,            0.028207,            0.060933,            0.006337,            0.006337,            0.006337
                  39,            0.034458,            0.041004,            0.062185,             0.88993,             0.25138,             0.36982,             0.21907,            0.036449,            0.027894,            0.060454,            0.006238,            0.006238,            0.006238
                  40,            0.034402,            0.039877,            0.061383,             0.69176,             0.31269,             0.38203,             0.22847,            0.035971,            0.028113,            0.058431,            0.006139,            0.006139,            0.006139
                  41,            0.034929,            0.040756,            0.061333,             0.79959,             0.29503,             0.39124,             0.23248,             0.03743,            0.028311,            0.057543,             0.00604,             0.00604,             0.00604
                  42,            0.034789,            0.041036,            0.059898,              0.7086,               0.329,             0.39501,             0.22979,             0.03798,            0.028346,            0.057454,            0.005941,            0.005941,            0.005941
                  43,            0.034969,            0.040614,            0.057392,             0.61688,             0.39315,             0.44422,             0.28392,            0.034693,            0.027413,            0.054781,            0.005842,            0.005842,            0.005842
                  44,             0.03414,            0.039515,            0.054572,             0.65285,             0.36673,             0.46422,             0.27558,            0.037471,            0.028188,            0.051152,            0.005743,            0.005743,            0.005743
                  45,            0.034775,            0.039204,            0.054803,             0.67932,              0.3929,             0.48216,             0.27927,            0.036868,            0.028606,            0.049724,            0.005644,            0.005644,            0.005644
                  46,            0.034633,            0.040353,            0.053503,             0.81075,             0.35734,             0.50843,             0.30526,            0.035916,            0.028617,            0.048645,            0.005545,            0.005545,            0.005545
                  47,            0.033912,            0.039408,            0.052401,             0.71411,             0.39973,             0.50498,             0.30518,            0.036477,            0.028275,            0.047224,            0.005446,            0.005446,            0.005446
                  48,            0.033863,            0.039525,            0.049474,             0.72779,              0.4415,             0.52929,             0.32465,            0.036153,            0.028787,            0.045799,            0.005347,            0.005347,            0.005347
                  49,            0.035192,            0.043022,            0.050229,             0.71413,             0.42623,             0.52665,              0.3231,            0.034917,            0.028667,            0.045514,            0.005248,            0.005248,            0.005248
                  50,            0.033853,            0.038221,             0.04832,             0.62352,             0.47961,             0.53891,             0.30096,            0.037392,            0.028299,            0.045297,            0.005149,            0.005149,            0.005149
                  51,            0.034107,            0.039866,             0.04719,             0.66378,             0.46971,             0.55624,             0.34751,            0.034902,            0.028524,            0.043785,             0.00505,             0.00505,             0.00505
                  52,             0.03482,            0.039206,            0.045992,             0.62637,             0.52114,             0.54966,             0.33346,            0.035956,             0.02839,            0.042509,            0.004951,            0.004951,            0.004951
                  53,             0.03377,            0.040244,            0.045415,             0.69182,             0.49288,             0.56298,              0.3365,            0.036028,            0.029449,            0.042559,            0.004852,            0.004852,            0.004852
                  54,            0.033712,            0.039835,            0.044263,             0.62668,              0.5318,             0.57937,             0.33731,            0.037315,            0.029208,            0.040332,            0.004753,            0.004753,            0.004753
